# Network nodes data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:27.863088
node_id,node_type,in_degree,out_degree
998,Type b,11,3
999,Type b,3,3
1000,Type a,9,3
1001,Type a,16,3
1002,Type a,35,3
1003,Type b,7,3
1004,Type a,7,3
1005,Type b,8,3
1006,Type a,16,3
1007,Type b,0,3
1008,Type b,16,3
1009,Type a,2,3
1010,Type a,50,3
1011,Type a,18,3
1012,Type a,20,3
1013,Type a,21,3
1014,Type b,2,3
1015,Type a,3,3
1016,Type a,21,3
1017,Type b,18,3
1018,Type b,10,3
1019,Type b,7,3
1020,Type b,3,3
1021,Type a,10,3
1022,Type b,9,3
1023,Type b,12,3
1024,Type a,13,3
1025,Type b,13,3
1026,Type a,16,3
1027,Type a,5,3
1028,Type b,15,3
1029,Type b,4,3
1030,Type a,5,3
1031,Type b,9,3
1032,Type a,22,3
1033,Type a,9,3
1034,Type a,15,3
1035,Type a,11,3
1036,Type a,8,3
1037,Type b,5,3
1038,Type b,20,3
1039,Type b,3,3
1040,Type b,7,3
1041,Type b,15,3
1042,Type b,3,3
1043,Type b,16,3
1044,Type b,12,3
1045,Type b,8,3
1046,Type b,21,3
1047,Type a,7,3
1048,Type b,21,3
1049,Type a,36,3
1050,Type a,10,3
1051,Type b,3,3
1052,Type b,2,3
1053,Type a,2,3
1054,Type a,14,3
1055,Type a,12,3
1056,Type b,15,3
1057,Type b,14,3
1058,Type a,4,3
1059,Type b,6,3
1060,Type a,8,3
1061,Type a,3,3
1062,Type a,6,3
1063,Type b,5,3
1064,Type a,11,3
1065,Type a,9,3
1066,Type b,10,3
1067,Type b,0,3
1068,Type b,19,3
1069,Type a,10,3
1070,Type a,18,3
1071,Type a,18,3
1072,Type b,2,3
1073,Type a,2,3
1074,Type a,0,3
1075,Type a,11,3
1076,Type a,16,3
1077,Type b,36,3
1078,Type b,33,3
1079,Type a,3,3
1080,Type a,10,3
1081,Type a,2,3
1082,Type a,24,3
1083,Type b,7,3
1084,Type b,6,3
1085,Type a,13,3
1086,Type a,8,3
1087,Type a,6,3
1088,Type b,26,3
1089,Type a,22,3
1090,Type a,4,3
1091,Type a,11,3
1092,Type a,23,3
1093,Type a,37,3
1094,Type b,9,3
1095,Type b,5,3
1096,Type a,9,3
1097,Type a,14,3
1098,Type b,15,3
1099,Type a,10,3
1100,Type b,19,3
1101,Type b,2,3
1102,Type a,6,3
1103,Type a,6,3
1104,Type b,9,3
1105,Type a,14,3
1106,Type a,26,3
1107,Type b,4,3
1108,Type b,24,3
1109,Type a,10,3
1110,Type b,11,3
1111,Type a,13,3
1112,Type b,15,3
1113,Type b,11,3
1114,Type a,5,3
1115,Type a,21,3
1116,Type b,9,3
1117,Type b,8,3
1118,Type b,5,3
1119,Type a,5,3
1120,Type a,6,3
1121,Type a,16,3
1122,Type a,25,3
1123,Type a,9,3
1124,Type a,4,3
1125,Type a,7,3
1126,Type a,9,3
1127,Type b,7,3
1128,Type b,21,3
1129,Type a,0,3
1130,Type b,5,3
1131,Type a,11,3
1132,Type a,8,3
1133,Type a,8,3
1134,Type a,1,3
1135,Type a,7,3
1136,Type a,8,3
1137,Type a,11,3
1138,Type b,11,3
1139,Type a,11,3
1140,Type b,35,3
1141,Type a,0,3
1142,Type a,5,3
1143,Type b,11,3
1144,Type a,6,3
1145,Type a,7,3
1146,Type b,10,3
1147,Type b,14,3
1148,Type a,18,3
1149,Type a,12,3
1150,Type b,16,3
1151,Type b,11,3
1152,Type a,15,3
1153,Type b,14,3
1154,Type b,24,3
1155,Type a,12,3
1156,Type b,5,3
1157,Type b,3,3
1158,Type a,0,3
1159,Type b,1,3
1160,Type b,16,3
1161,Type b,9,3
1162,Type a,14,3
1163,Type b,11,3
1164,Type a,16,3
1165,Type a,52,3
1166,Type a,11,3
1167,Type b,2,3
1168,Type b,6,3
1169,Type a,5,3
1170,Type a,2,3
1171,Type a,5,3
1172,Type b,25,3
1173,Type a,21,3
1174,Type a,18,3
1175,Type a,4,3
1176,Type b,31,3
1177,Type b,12,3
1178,Type b,14,3
1179,Type b,9,3
1180,Type a,8,3
1181,Type b,5,3
1182,Type a,9,3
1183,Type a,22,3
1184,Type a,3,3
1185,Type a,28,3
1186,Type a,2,3
1187,Type a,1,3
1188,Type b,15,3
1189,Type b,49,3
1190,Type b,8,3
1191,Type a,3,3
1192,Type b,21,3
1193,Type a,2,3
1194,Type b,23,3
1195,Type a,13,3
1196,Type b,22,3
1197,Type b,6,3
1198,Type a,5,3
1199,Type b,6,3
1200,Type b,4,3
1201,Type b,6,3
1202,Type b,14,3
1203,Type a,6,3
1204,Type b,6,3
1205,Type a,9,3
1206,Type b,4,3
1207,Type b,19,3
1208,Type b,12,3
1209,Type a,14,3
1210,Type b,9,3
1211,Type a,7,3
1212,Type a,17,3
1213,Type a,4,3
1214,Type b,16,3
1215,Type a,6,3
1216,Type a,3,3
1217,Type a,7,3
1218,Type b,13,3
1219,Type b,1,3
1220,Type a,15,3
1221,Type b,5,3
1222,Type a,13,3
1223,Type b,3,3
1224,Type a,16,3
1225,Type a,34,3
1226,Type b,1,3
1227,Type b,1,3
1228,Type b,4,3
1229,Type b,5,3
1230,Type a,19,3
1231,Type a,10,3
1232,Type a,10,3
1233,Type a,15,3
1234,Type b,5,3
1235,Type a,16,3
1236,Type a,11,3
1237,Type b,6,3
1238,Type a,8,3
1239,Type b,6,3
1240,Type b,23,3
1241,Type a,9,3
1242,Type b,12,3
1243,Type a,12,3
1244,Type a,11,3
1245,Type b,3,3
1246,Type a,11,3
1247,Type a,11,3
1248,Type b,4,3
1249,Type a,5,3
1250,Type a,19,3
1251,Type b,11,3
1252,Type a,5,3
1253,Type a,16,3
1254,Type a,6,3
1255,Type a,31,3
1256,Type a,4,3
1257,Type b,9,3
1258,Type a,10,3
1259,Type b,13,3
1260,Type a,8,3
1261,Type b,7,3
1262,Type a,3,3
1263,Type b,24,3
1264,Type b,29,3
1265,Type a,22,3
1266,Type a,2,3
1267,Type b,9,3
1268,Type b,26,3
1269,Type a,12,3
1270,Type a,10,3
1271,Type b,7,3
1272,Type b,4,3
1273,Type b,16,3
1274,Type a,6,3
1275,Type b,3,3
1276,Type b,9,3
1277,Type a,11,3
1278,Type a,11,3
1279,Type b,2,3
1280,Type a,5,3
1281,Type a,6,3
1282,Type a,15,3
1283,Type a,21,3
1284,Type a,4,3
1285,Type a,4,3
1286,Type b,2,3
1287,Type b,3,3
1288,Type a,14,3
1289,Type b,10,3
1290,Type a,11,3
1291,Type a,18,3
1292,Type a,4,3
1293,Type a,13,3
1294,Type b,15,3
1295,Type b,8,3
1296,Type b,13,3
1297,Type a,1,3
1298,Type a,1,3
1299,Type b,6,3
1300,Type a,9,3
1301,Type a,11,3
1302,Type a,7,3
1303,Type b,6,3
1304,Type a,14,3
1305,Type b,3,3
1306,Type b,13,3
1307,Type a,8,3
1308,Type a,2,3
1309,Type a,20,3
1310,Type a,6,3
1311,Type a,6,3
1312,Type a,33,3
1313,Type b,4,3
1314,Type a,3,3
1315,Type a,9,3
1316,Type a,6,3
