# Network edges data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.844865
source,target,source_origin,target_origin,source_type,target_type
369,20,added,added,Type a,Type b
369,299,added,added,Type a,Type a
370,32,added,added,Type a,Type b
370,358,added,added,Type a,Type a
371,263,added,added,Type b,Type a
371,7,added,added,Type b,Type a
372,65,added,added,Type b,Type a
372,67,added,added,Type b,Type a
373,30,added,added,Type a,Type b
373,17,added,added,Type a,Type a
374,2,added,initial_core,Type a,Type a
374,60,added,added,Type a,Type a
375,370,added,added,Type a,Type a
375,15,added,added,Type a,Type a
376,27,added,added,Type b,Type a
376,36,added,added,Type b,Type b
377,110,added,added,Type b,Type b
377,265,added,added,Type b,Type a
378,110,added,added,Type b,Type b
378,271,added,added,Type b,Type a
379,67,added,added,Type b,Type a
379,5,added,added,Type b,Type a
380,32,added,added,Type a,Type b
380,280,added,added,Type a,Type b
381,2,added,initial_core,Type b,Type a
381,83,added,added,Type b,Type a
382,88,added,added,Type a,Type a
382,3,added,initial_core,Type a,Type b
383,5,added,added,Type a,Type a
383,64,added,added,Type a,Type a
384,171,added,added,Type a,Type b
384,322,added,added,Type a,Type a
385,96,added,added,Type b,Type a
385,5,added,added,Type b,Type a
386,107,added,added,Type b,Type b
386,15,added,added,Type b,Type a
387,243,added,added,Type b,Type b
387,37,added,added,Type b,Type a
388,44,added,added,Type b,Type a
388,227,added,added,Type b,Type b
389,277,added,added,Type a,Type b
389,27,added,added,Type a,Type a
390,32,added,added,Type b,Type b
390,88,added,added,Type b,Type a
391,177,added,added,Type b,Type a
391,266,added,added,Type b,Type a
392,141,added,added,Type b,Type b
392,341,added,added,Type b,Type b
393,267,added,added,Type a,Type b
393,147,added,added,Type a,Type a
394,378,added,added,Type b,Type b
394,30,added,added,Type b,Type b
395,17,added,added,Type b,Type a
395,60,added,added,Type b,Type a
396,13,added,added,Type b,Type b
396,37,added,added,Type b,Type a
397,57,added,added,Type b,Type a
397,105,added,added,Type b,Type a
398,99,added,added,Type a,Type b
398,104,added,added,Type a,Type a
399,78,added,added,Type b,Type a
399,389,added,added,Type b,Type a
400,6,added,added,Type a,Type a
400,149,added,added,Type a,Type b
401,259,added,added,Type a,Type b
401,126,added,added,Type a,Type b
402,118,added,added,Type b,Type b
