# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
1116,Type b,41,3
1117,Type b,40,3
1118,Type a,2,3
1119,Type b,27,3
1120,Type b,51,3
1121,Type b,80,3
1122,Type a,1,3
1123,Type b,67,3
1124,Type b,23,3
1125,Type b,45,3
1126,Type b,33,3
1127,Type b,62,3
1128,Type a,6,3
1129,Type b,22,3
1130,Type b,104,3
1131,Type b,17,3
1132,Type b,26,3
1133,Type b,25,3
1134,Type b,50,3
1135,Type a,5,3
1136,Type b,41,3
1137,Type b,32,3
1138,Type b,33,3
1139,Type b,31,3
1140,Type b,34,3
1141,Type b,68,3
1142,Type b,31,3
1143,Type b,52,3
1144,Type b,45,3
1145,Type b,20,3
1146,Type b,17,3
1147,Type a,5,3
1148,Type b,39,3
1149,Type b,17,3
1150,Type b,103,3
1151,Type b,51,3
1152,Type b,48,3
1153,Type b,34,3
1154,Type b,50,3
1155,Type b,40,3
1156,Type a,4,3
1157,Type a,4,3
1158,Type b,76,3
1159,Type b,33,3
1160,Type b,36,3
1161,Type b,38,3
1162,Type a,4,3
1163,Type a,1,3
1164,Type a,13,3
1165,Type b,29,3
1166,Type b,23,3
1167,Type b,90,3
1168,Type b,54,3
1169,Type b,34,3
1170,Type b,22,3
1171,Type b,28,3
1172,Type b,27,3
1173,Type b,32,3
1174,Type b,37,3
1175,Type b,46,3
1176,Type b,34,3
1177,Type b,23,3
1178,Type b,30,3
1179,Type a,5,3
1180,Type b,65,3
1181,Type b,52,3
1182,Type b,18,3
1183,Type b,40,3
1184,Type b,33,3
1185,Type b,46,3
1186,Type b,83,3
1187,Type b,26,3
1188,Type b,36,3
1189,Type b,83,3
1190,Type b,45,3
1191,Type b,18,3
1192,Type b,47,3
1193,Type b,25,3
1194,Type b,50,3
1195,Type b,21,3
1196,Type b,26,3
1197,Type b,56,3
1198,Type b,37,3
1199,Type b,35,3
1200,Type b,28,3
1201,Type b,52,3
1202,Type b,20,3
1203,Type b,20,3
1204,Type b,21,3
1205,Type b,38,3
1206,Type b,29,3
1207,Type b,48,3
1208,Type b,67,3
1209,Type b,25,3
1210,Type b,10,3
1211,Type b,59,3
1212,Type b,61,3
1213,Type b,39,3
1214,Type b,63,3
1215,Type b,51,3
1216,Type b,36,3
1217,Type b,47,3
1218,Type b,44,3
1219,Type b,37,3
1220,Type a,6,3
1221,Type b,99,3
1222,Type b,34,3
1223,Type b,63,3
1224,Type b,60,3
1225,Type b,43,3
1226,Type b,43,3
1227,Type b,75,3
1228,Type b,61,3
1229,Type b,11,3
1230,Type b,36,3
1231,Type b,61,3
1232,Type a,7,3
1233,Type b,59,3
1234,Type a,3,3
1235,Type b,48,3
1236,Type b,28,3
1237,Type b,34,3
1238,Type b,75,3
1239,Type a,1,3
1240,Type b,36,3
1241,Type b,45,3
1242,Type b,47,3
1243,Type b,55,3
1244,Type b,21,3
1245,Type b,24,3
1246,Type b,23,3
1247,Type b,34,3
1248,Type a,0,3
1249,Type a,3,3
1250,Type b,69,3
1251,Type b,43,3
1252,Type b,32,3
1253,Type a,1,3
1254,Type b,41,3
1255,Type b,24,3
1256,Type b,23,3
